"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networkinterfaces/windowvmytb299";"windowvmytb299";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:40 AM";"10/15/2021 4:28:47 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networksecuritygroups/harryvm-nsg";"harryvm-nsg";"koreacentral";"@{Name=harryVM; Env=DEV}";"10/18/2021 4:39:34 AM";"10/18/2021 4:51:41 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networksecuritygroups/testvm-nsg";"testvm-nsg";"koreasouth";"@{Name=testVM}";"10/16/2021 9:28:00 AM";"10/16/2021 9:38:08 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networksecuritygroups/vmtobuild-nsg";"vmtobuild-nsg";"australiaeast";"@{Name=VMtoBuild; Env=PRD}";"10/18/2021 1:11:32 PM";"10/18/2021 1:21:40 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networksecuritygroups/vmtobuildvm-nsg";"vmtobuildvm-nsg";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:07 PM";"10/18/2021 2:07:25 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networksecuritygroups/windowvmytb-nsg";"windowvmytb-nsg";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:33 AM";"10/15/2021 4:28:40 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/publicipaddresses/harryvm-ip";"harryvm-ip";"koreacentral";"@{Name=harryVM; Env=DEV}";"10/18/2021 4:39:34 AM";"10/18/2021 4:49:40 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/publicipaddresses/testvm-ip";"testvm-ip";"koreasouth";"@{Name=testVM}";"10/16/2021 9:28:00 AM";"10/16/2021 9:38:09 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/publicipaddresses/vmtobuild-ip";"vmtobuild-ip";"australiaeast";"@{Name=VMtoBuild; Env=PRD}";"10/18/2021 1:11:32 PM";"10/18/2021 1:21:42 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/publicipaddresses/vmtobuildvm-ip";"vmtobuildvm-ip";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:08 PM";"10/18/2021 2:07:17 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/publicipaddresses/windowvmytb-ip";"windowvmytb-ip";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:33 AM";"10/15/2021 4:28:45 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/virtualnetworks/ytb-vnet";"ytb-vnet";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:33 AM";"10/15/2021 4:28:41 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/virtualnetworks/ytbvnet295";"ytbvnet295";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:07 PM";"10/18/2021 2:07:22 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/virtualnetworks/ytbvnet340";"ytbvnet340";"koreacentral";"@{Name=harryVM; Env=DEV}";"10/18/2021 4:39:35 AM";"10/18/2021 4:49:43 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/virtualnetworks/ytbvnet867";"ytbvnet867";"australiaeast";"@{Name=VMtoBuild; Env=PRD}";"10/18/2021 1:11:32 PM";"10/18/2021 1:21:44 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/virtualnetworks/ytbvnet961";"ytbvnet961";"koreasouth";"@{Name=testVM}";"10/16/2021 9:28:00 AM";"10/16/2021 9:38:09 AM"
